"start_time";"end_time";"pergunta";"referencias";"resposta"
"2026-01-15 16:20:17.142479";"2026-01-15 16:20:38.014455";o que é fundeinfra?;{P_150_2023_SEI.docx,P_185_2023_SEI.docx,P_79_2023_SEI.docx,P_42_2023_SEI.docx,P_27_2023_SEI.docx,P_69_2023_SEI.docx,P_45_2023_SEI.docx,P_57_2023_SEI.docx};"<div> <strong>O que é o Fundeinfra</strong><br> <p> O Fundeinfra é o Fundo Estadual de Infraestrutura, instituído pela Lei n? 21.670/2022. A contribuiç?o para este fundo n?o possui natureza de tributo, sendo definida como uma prestaç?o em dinheiro (pecuniária) e <em>facultativa</em>. <a href=""/pdf/?file=P_42_2023_SEI.docx"">P_42_2023_SEI.docx</a>,  <a href=""/pdf/?file=P_45_2023_SEI.docx"">P_45_2023_SEI.docx</a> </p> <p> Seu pagamento é uma opç?o para o contribuinte que deseja usufruir de determinados regimes ou benefícios fiscais. Por ser uma escolha do contribuinte, os princípios constitucionais tributários, como a anterioridade, n?o se aplicam a esta contribuiç?o. <a href=""/pdf/?file=P_42_2023_SEI.docx"">P_42_2023_SEI.docx</a> </p> <p> Os benefícios fiscais que podem ser condicionados ? contribuiç?o ao Fundeinfra incluem: <a href=""/pdf/?file=P_27_2023_SEI.docx"">P_27_2023_SEI.docx</a>,  <a href=""/pdf/?file=P_79_2023_SEI.docx"">P_79_2023_SEI.docx</a> </p> <ul> <li>O regime especial de controle de exportaç?o;</li> <li>A isenç?o de ICMS prevista nos incisos LXXVIII e CXVI do art. 6? do Anexo IX do RCTE/GO;</li> <li>A postergaç?o (adiamento) do pagamento do ICMS em operaç?es de substituiç?o tributária.</li> </ul> </div>"
"2026-02-10 13:25:59.187590";"2026-02-10 13:26:18.982584";o que é fundeinfra;{P_150_2023_SEI.docx,P_185_2023_SEI.docx,P_79_2023_SEI.docx,P_42_2023_SEI.docx,P_27_2023_SEI.docx,P_69_2023_SEI.docx,P_45_2023_SEI.docx,P_57_2023_SEI.docx};"<div> <strong>O que é o Fundeinfra</strong><br> <p>O Fundo Estadual de Infraestrutura (Fundeinfra) foi instituído pela Lei n? 21.670/2022 e regulamentado pelo Decreto n? 10.187/2022. A contribuiç?o para este fundo n?o tem natureza de tributo, sendo uma prestaç?o pecuniária <em>facultativa</em>. Ela é exigida apenas dos contribuintes que optam por usufruir de determinados benefícios ou regimes fiscais. <a href=""/pdf/?file=P_42_2023_SEI.docx""> P_42_2023_SEI.docx </a>,  <a href=""/pdf/?file=P_79_2023_SEI.docx""> P_79_2023_SEI.docx </a>,  <a href=""/pdf/?file=P_27_2023_SEI.docx""> P_27_2023_SEI.docx </a> </p> <p>O pagamento da contribuiç?o é uma condiç?o para que o contribuinte possa se beneficiar de tratamentos como:</p> <ul> <li>Manter o regime especial de controle de exportaç?o. <a href=""/pdf/?file=P_42_2023_SEI.docx""> P_42_2023_SEI.docx </a></li> <li>Usufruir da isenç?o de ICMS prevista nos incisos LXXVIII e CXVI do art. 6? do Anexo IX do RCTE/GO. <a href=""/pdf/?file=P_79_2023_SEI.docx""> P_79_2023_SEI.docx </a></li> <li>Postergar o pagamento do ICMS devido por substituiç?o tributária (ST) pela operaç?o anterior, pagando-o apenas na saída subsequente da mercadoria. <a href=""/pdf/?file=P_27_2023_SEI.docx""> P_27_2023_SEI.docx </a></li> </ul> <p>Por ser uma opç?o do contribuinte e n?o um tributo, os princípios constitucionais tributários, como o da anterioridade, n?o se aplicam a essa contribuiç?o. <a href=""/pdf/?file=P_42_2023_SEI.docx""> P_42_2023_SEI.docx </a></p> </div>"
"2026-02-10 14:14:52.258743";"2026-02-10 14:15:16.680947";o que é fundeinfra;{P_150_2023_SEI.docx,P_185_2023_SEI.docx,P_79_2023_SEI.docx,P_42_2023_SEI.docx,P_27_2023_SEI.docx,P_69_2023_SEI.docx,P_45_2023_SEI.docx,P_57_2023_SEI.docx};"<div> <strong>O que é o Fundeinfra</strong><br> <p> O Fundeinfra é o Fundo Estadual de Infraestrutura, instituído pela Lei n? 21.670/2022 e regulamentado pelo Decreto n? 10.187/2022. <a href=""/pdf/?file=P_42_2023_SEI.docx"">P_42_2023_SEI.docx</a>,  <a href=""/pdf/?file=P_45_2023_SEI.docx"">P_45_2023_SEI.docx</a> </p> <p> A contribuiç?o para o Fundeinfra n?o possui natureza jurídico-tributária, sendo definida como uma <em>prestaç?o pecuniária facultativa</em>. Ela é exigida apenas dos contribuintes que optam por usufruir de determinados benefícios fiscais ou regimes especiais. Por ser uma opç?o do contribuinte, os princípios constitucionais tributários, como o da anterioridade, n?o se aplicam. <a href=""/pdf/?file=P_42_2023_SEI.docx"">P_42_2023_SEI.docx</a>,  <a href=""/pdf/?file=P_79_2023_SEI.docx"">P_79_2023_SEI.docx</a>,  <a href=""/pdf/?file=P_27_2023_SEI.docx"">P_27_2023_SEI.docx</a> </p> <p> O pagamento da contribuiç?o é uma condiç?o para que o contribuinte possa se beneficiar de vantagens como: </p> <ul>     <li>Manter o regime especial de controle de exportaç?o, que substitui o pagamento do ICMS no momento da saída da mercadoria.     <a href=""/pdf/?file=P_57_2023_SEI.docx"">P_57_2023_SEI.docx</a>,      <a href=""/pdf/?file=P_45_2023_SEI.docx"">P_45_2023_SEI.docx</a>     </li>     <li>Usufruir da isenç?o de ICMS prevista nos incisos LXXVIII e CXVI do art. 6? do Anexo IX do RCTE/GO para operaç?es com produtos como cana-de-açúcar, milho, soja, bovinos e bufalinos.     <a href=""/pdf/?file=P_42_2023_SEI.docx"">P_42_2023_SEI.docx</a>,      <a href=""/pdf/?file=P_27_2023_SEI.docx"">P_27_2023_SEI.docx</a>     </li>     <li>Postergar o pagamento do ICMS devido por substituiç?o tributária (operaç?es anteriores) para o momento da saída subsequente da mercadoria.     <a href=""/pdf/?file=P_79_2023_SEI.docx"">P_79_2023_SEI.docx</a>,      <a href=""/pdf/?file=P_42_2023_SEI.docx"">P_42_2023_SEI.docx</a>     </li> </ul> </div>"
"2026-02-13 10:52:25.030199";"2026-02-13 10:52:47.908944";É necessário emitir nota fiscal para transferir estoque e imobilizado em operaç?o de incorporaç?o societária?;{P_13_2024_SEI.docx,P_40_2021_SEI.docx,P_96_2023_SEI.docx,P_171_2023_SEI.docx,P_102_2020_SEI.docx,P_007_2020_SEI.docx,P_173_2023_SEI.docx,P_75_2025_SEI.docx,P_123_2023_SEI.docx};"<div>     <strong>Emiss?o de Nota Fiscal na Transfer?ncia de Bens em Incorporaç?o</strong><br>     <p>         Os documentos apresentam entendimentos diferentes sobre a necessidade de emiss?o de nota fiscal para a transfer?ncia de estoque e ativo imobilizado em uma operaç?o de incorporaç?o.     </p>     <p>         Um dos pareceres afirma que <strong>n?o é necessária</strong> a emiss?o de notas fiscais para transferir o estoque e o ativo imobilizado da empresa incorporada para a incorporadora, <em>desde que n?o ocorra saída física dos bens do estabelecimento</em>. Neste caso, a regularizaç?o é feita pela transfer?ncia dos livros fiscais e contábeis, com a devida comunicaç?o ? repartiç?o fiscal.         <a href=""/pdf/?file=P_75_2025_SEI.docx""> P_75_2025_SEI.docx </a>     </p>     <p>         No entanto, outros pareceres sobre o mesmo assunto concluem que, apesar da operaç?o n?o ser fato gerador do ICMS, todas as transfer?ncias de bens e direitos, incluindo estoques e ativo imobilizado, <strong>devem ser documentadas</strong> por meio de Nota Fiscal Eletrônica (NF-e).         <a href=""/pdf/?file=P_173_2023_SEI.docx""> P_173_2023_SEI.docx </a> e          <a href=""/pdf/?file=P_171_2023_SEI.docx""> P_171_2023_SEI.docx </a>     </p>     <p>         De forma similar, uma consulta sobre um processo de cis?o parcial seguida de incorporaç?o também estabelece que é <strong>obrigatória</strong> a emiss?o de notas fiscais para controle dos estoques e para a transfer?ncia dos bens do ativo imobilizado.         <a href=""/pdf/?file=P_40_2021_SEI.docx""> P_40_2021_SEI.docx </a>     </p> </div>"
"2026-02-02 12:13:31.708401";"2026-02-02 12:13:53.167213";Quais pareceres falam da aliquota de feij?o;{P_147_2023_SEI.docx,P_24_2023_SEI.docx,P_112_2023_SEI.docx,P_55_2023_SEI.docx,P_90_2022_SEI.docx,P_64_2021_SEI.docx,P_239_2022_SEI.docx};"<div> <strong>Alíquota de ICMS para Feij?o</strong><br> <p>Os pareceres que tratam da alíquota de ICMS para o feij?o s?o:</p> <ul> <li> <p><strong>P_012_2018 SEI.doc:</strong> Este parecer aborda as alteraç?es tributárias para estabelecimentos que industrializam arroz e feij?o. Ele informa que a Lei n? 19.930/2017 elevou a alíquota interna de ICMS sobre o feij?o de 12% para 17%. A conclus?o do parecer indica que essa nova alíquota só poderia ser aplicada a partir de 29 de março de 2018, em respeito aos princípios da anterioridade e da noventena. <a href=""/pdf/?file=P_012_2018 SEI.doc"">P_012_2018 SEI.doc</a></p> </li> <li> <p><strong>P_086_2018_SEI.doc:</strong> Ao responder uma consulta sobre qual a alíquota interna de ICMS para arroz e feij?o, este documento conclui que a alíquota vigente é de 17%. A fundamentaç?o explica que a Lei n? 19.930/2017 alterou o Código Tributário do Estado de Goiás (CTE), excluindo o feij?o da lista de produtos com alíquota de 12%, fazendo com que passasse a ser tributado pela alíquota geral de 17%. <a href=""/pdf/?file=P_086_2018_SEI.doc"">P_086_2018_SEI.doc</a></p> </li> <li> <p><strong>P_087_2018_SEI.doc:</strong> Este parecer também trata da alíquota interna de ICMS para o feij?o e conclui que a alíquota correta é de 17%. A justificativa é a mesma do parecer anterior: a Lei n? 19.930/2017 alterou o Código Tributário do Estado, retirando o feij?o da lista de produtos com alíquota de 12% e submetendo-o ? alíquota geral de 17%. <a href=""/pdf/?file=P_087_2018_SEI.doc"">P_087_2018_SEI.doc</a></p> </li> </ul> </div>"
"2026-02-13 15:08:03.250220";"2026-02-13 15:08:23.246409";qual parecer sobre tributaç?o de feij?o;{P_037_2020_SEI.docx,P_140_2020_SEI.docx,P_42_2021_SEI.docx,P_82_2023_SEI.docx,P_90_2022_SEI.docx,P_64_2021_SEI.docx};"<div> <strong>Pareceres sobre a Tributaç?o de Feij?o</strong><br> <p> O parecer <strong>P_140_2020_SEI.docx</strong> trata da aplicaç?o da substituiç?o tributária (ST) na aquisiç?o interna de feij?o por um estabelecimento industrial. Ele conclui que é possível apurar o ICMS-ST de forma englobada com o ICMS da operaç?o de saída própria, sem a necessidade de um Termo de Acordo de Regime Especial (TARE). Além disso, esclarece que, devido a uma alteraç?o na legislaç?o, a entrada do feij?o deve ser escriturada sem débito e sem crédito, n?o havendo mais um código de ajuste específico para lançar o débito na EFD. <a href=""/pdf/?file=P_140_2020_SEI.docx"">P_140_2020_SEI.docx</a> </p> <p> O parecer <strong>P_42_2021_SEI.docx</strong> analisa a tributaç?o na aquisiç?o interna de feij?o por uma indústria, detalhando duas hipóteses. Na <em>tributaç?o normal</em>, a indústria pode se creditar de 7% pela aquisiç?o e obter um crédito outorgado de 6% pela industrializaç?o. Já no regime de <em>Substituiç?o Tributária com Apuraç?o Englobada</em>, a indústria perde o direito ao crédito de 7% da aquisiç?o, mas mantém o direito ao crédito outorgado de 6%, pois a entrada da mercadoria é registrada sem débito e sem crédito. <a href=""/pdf/?file=P_42_2021_SEI.docx"">P_42_2021_SEI.docx</a> </p> <p> O parecer <strong>P_190_2018 SEI.doc</strong> aborda a aplicaç?o da reduç?o de base de cálculo do ICMS na compra de feij?o inteiro e ""bandinha de feij?o"" para uso como insumo na fabricaç?o de raç?o animal. Conclui-se que atividades de pós-colheita (limpeza, separaç?o) e o acondicionamento para transporte n?o s?o considerados industrializaç?o. Portanto, o benefício fiscal previsto para feij?o <em>industrializado</em> n?o se aplica nessas operaç?es de aquisiç?o. O documento também afirma que o feij?o quebrado e o inteiro recebem o mesmo tratamento fiscal. <a href=""/pdf/?file=P_190_2018 SEI.doc"">P_190_2018 SEI.doc</a> </p> <p> O parecer <strong>P_087_2018_SEI.doc</strong> esclarece a aplicaç?o de benefícios fiscais para arroz e feij?o. Na saída interna de feij?o industrializado em Goiás, a base de cálculo é reduzida para que a carga tributária seja de 7%. Ao optar por este benefício, o contribuinte deve estornar todos os créditos relacionados ao produto, exceto o crédito pela aquisiç?o do feij?o e do respectivo frete. O documento também define que a alíquota interna de ICMS para o feij?o é de 17%. <a href=""/pdf/?file=P_087_2018_SEI.doc"">P_087_2018_SEI.doc</a> </p> </div>"
"2026-03-05 09:52:53.249050";"2026-03-05 09:53:19.721843";REDUÇ?ODE BASE DE CALCULO POR RESTAURANTE;{P_151_2023_SEI.docx,P_46_2022_SEI.docx,P_123_2024_SEI.docx,P_103_2020_SEI.docx,P_130_2022_SEI.docx};"<div>     <strong>Reduç?o da Base de Cálculo do ICMS para Restaurantes</strong><br>     <p>O benefício fiscal de reduç?o da base de cálculo do ICMS para restaurantes, bares e estabelecimentos similares no fornecimento de refeiç?es sofreu diversas alteraç?es ao longo do tempo. Atualmente, a aplicaç?o do benefício e suas condiç?es s?o as seguintes:</p>          <h3>Regra Atual (A partir de 10/03/2023)</h3>     <p>A base de cálculo do ICMS é reduzida de forma que a carga tributária resulte em <strong>7% (sete por cento)</strong> sobre o valor do fornecimento de refeiç?es. Esta regra está prevista no <strong>art. 9?, inciso XXXIX, do Anexo IX, do RCTE-GO</strong>.     <a href=""/pdf/?file=P_151_2023_SEI.docx""> P_151_2023_SEI.docx </a>      <a href=""/pdf/?file=P_123_2024_SEI.docx""> P_123_2024_SEI.docx </a>      </p>     <ul>         <li><strong>Bebidas:</strong> A reduç?o se aplica a bebidas preparadas no próprio estabelecimento para consumo final, desde que n?o contenham teor alcoólico (ex: sucos naturais). Ficam excluídas bebidas prontas como cervejas, refrigerantes e águas minerais.         <a href=""/pdf/?file=P_151_2023_SEI.docx""> P_151_2023_SEI.docx </a>          </li>         <li><strong>Manutenç?o de Crédito:</strong> O contribuinte tem o direito de manter o crédito de ICMS relativo ?s mercadorias adquiridas para o preparo das refeiç?es.         <a href=""/pdf/?file=P_151_2023_SEI.docx""> P_151_2023_SEI.docx </a>          </li>     </ul>     <h3>Condiç?es para Utilizaç?o do Benefício</h3>     <p>Para usufruir da reduç?o, o contribuinte deve atender ?s seguintes condiç?es, conforme o art. 1? do Anexo IX do RCTE:</p>     <ul>         <li>Estar adimplente com o pagamento do ICMS.         <a href=""/pdf/?file=P_151_2023_SEI.docx""> P_151_2023_SEI.docx </a>          </li>         <li>N?o possuir crédito tributário estadual inscrito em dívida ativa.         <a href=""/pdf/?file=P_151_2023_SEI.docx""> P_151_2023_SEI.docx </a>          </li>         <li>Contribuir para o <strong>Fundo de Proteç?o Social do Estado de Goiás (PROTEGE GOIÁS)</strong>. O valor corresponde a 15% sobre a diferença entre o imposto que seria devido pela tributaç?o integral (17%) e o valor calculado com o benefício (7%).         <a href=""/pdf/?file=P_151_2023_SEI.docx""> P_151_2023_SEI.docx </a>          <a href=""/pdf/?file=P_123_2024_SEI.docx""> P_123_2024_SEI.docx </a>          </li>     </ul>     <h3>Como Aplicar o Benefício</h3>     <p>A aplicaç?o do benefício é imediata e n?o requer ajustes prévios no portal da SEFAZ/GO. O contribuinte que atende ?s condiç?es pode começar a emitir os documentos fiscais com a carga tributária de 7% sobre as operaç?es contempladas, realizando a devida escrituraç?o na EFD e efetuando o pagamento da contribuiç?o ao PROTEGE GOIÁS.     <a href=""/pdf/?file=P_151_2023_SEI.docx""> P_151_2023_SEI.docx </a>      </p>     <h3>O que é considerado ""Refeiç?o""?</h3>     <p>O conceito de refeiç?o é definido pela <strong>Instruç?o Normativa n? 389/99-GSF</strong> como o ""alimento pronto e acabado, próprio para o consumo humano"". Inclui-se neste conceito: salgados, quitandas, sanduíches, pamonhas, pizzas, sobremesas, sucos naturais, cremes e vitaminas.     <a href=""/pdf/?file=P_123_2024_SEI.docx""> P_123_2024_SEI.docx </a>      <a href=""/pdf/?file=P_130_2022_SEI.docx""> P_130_2022_SEI.docx </a>      </p>     <p>S?o <strong>explicitamente excluídos</strong> do conceito de refeiç?o: sorvete, picolé, p?o, bebida alcoólica, refrigerante e água mineral.     <a href=""/pdf/?file=P_123_2024_SEI.docx""> P_123_2024_SEI.docx </a>      </p>     <p>O benefício fiscal aplica-se apenas ao <strong>""fornecimento""</strong>, que pressup?e o consumo no próprio estabelecimento. A venda de produtos para consumo fora do local (como produtos de padaria vendidos para viagem) é caracterizada como ""saída de mercadoria"" e n?o se enquadra no benefício.     <a href=""/pdf/?file=P_130_2022_SEI.docx""> P_130_2022_SEI.docx </a>      <a href=""/pdf/?file=P_103_2020_SEI.docx""> P_103_2020_SEI.docx </a>      </p>     <h3>Histórico da Legislaç?o</h3>     <p>A tributaç?o sobre o fornecimento de refeiç?es passou por diferentes fases:</p>     <ul>         <li><strong>De 01/01/98 a 31/10/17:</strong> Carga tributária de 7% com manutenç?o do crédito. Excluía bebida alcoólica, refrigerante e água mineral.         <a href=""/pdf/?file=P_123_2024_SEI.docx""> P_123_2024_SEI.docx </a>          </li>         <li><strong>De 01/12/17 a 31/05/18:</strong> Carga tributária de 10,2% com manutenç?o do crédito.         <a href=""/pdf/?file=P_123_2024_SEI.docx""> P_123_2024_SEI.docx </a>          </li>         <li><strong>De 01/06/18 a 09/03/23:</strong> Carga tributária de 7% sem manutenç?o do crédito. A principal mudança foi a exclus?o de <em>quaisquer bebidas</em> do benefício.         <a href=""/pdf/?file=P_123_2024_SEI.docx""> P_123_2024_SEI.docx </a>          <a href=""/pdf/?file=P_46_2022_SEI.docx""> P_46_2022_SEI.docx </a>          </li>     </ul> </div>"
"2026-03-05 09:53:44.933532";"2026-03-05 09:54:06.131435";elaborar uma manifestaç?o fundamentada sobre Termo de Credenciamento Economia Estado de Goiás;{P_72_2022_SEI.docx,P_124_2020_SEI.docx,P_215_2023_SEI.docx,P_110_2020_SEI.docx,P_100_2022_SEI.docx,P_55_2024_SEI.docx,P_57_2023_SEI.docx,P_184_2024_SEI.docx};"<div id=""resposta""> <strong>Termo de Credenciamento no Estado de Goiás</strong><br> <p>O Termo de Credenciamento é um instrumento utilizado pela Secretaria da Economia do Estado de Goiás para conceder regimes especiais a contribuintes, com diferentes finalidades e regras específicas dependendo da operaç?o. A sua concess?o e os seus efeitos est?o detalhados em diversas normativas.</p> <ul> <li> <strong>Finalidades e Restriç?es Gerais</strong> <p>A Instruç?o Normativa n? 180/19-SRE regulamenta a concess?o do Termo de Credenciamento para diversas finalidades, como a dispensa do pagamento antecipado do ICMS, a assunç?o da condiç?o de substituto tributário pela operaç?o anterior e a autorizaç?o para apuraç?o englobada do imposto. No entanto, a análise da norma deixa claro que todas as hipóteses de concess?o s?o <em>vinculadas a contribuintes estabelecidos no Estado de Goiás</em>. O Termo de Credenciamento n?o pode ser concedido a contribuintes localizados em outras unidades da Federaç?o, pois eles n?o cumprem os requisitos de habilitaç?o, como estar adimplente com as obrigaç?es tributárias goianas. <a href=""/pdf/?file=P_110_2020_SEI.docx"">P_110_2020_SEI.docx</a> </p> </li> <li> <strong>Credenciamento para Controle de Exportaç?o (FUNDEINFRA)</strong> <p>Nas operaç?es de remessa de milho e soja com fim de exportaç?o, o contribuinte pode optar por um regime especial, mediante um Termo de Credenciamento, para usufruir da n?o incid?ncia de ICMS. Em vez de pagar o imposto antecipadamente, o contribuinte credenciado recolhe uma contribuiç?o ao Fundo Estadual de Infraestrutura (FUNDEINFRA). A formalizaç?o dessa opç?o e a obtenç?o do Termo de Credenciamento devem seguir os procedimentos da Instruç?o Normativa n? 180/19-SRE, com o pedido sendo realizado pela plataforma digital de processos (PDP) da Secretaria da Economia. <a href=""/pdf/?file=P_57_2023_SEI.docx"">P_57_2023_SEI.docx</a> </p> </li> <li> <strong>Credenciamento para Emiss?o de Nota Fiscal Eletrônica (NF-e) por Produtor Rural</strong> <p>O produtor rural pode ser credenciado para emitir sua própria Nota Fiscal Eletrônica (NF-e), modelo 55, especialmente em casos de transfer?ncia interestadual de mercadorias entre estabelecimentos do mesmo contribuinte. Este credenciamento, no entanto, acarreta consequ?ncias significativas: <ul> <li>Obriga o produtor a adotar o regime periódico de apuraç?o e pagamento do ICMS.</li> <li>Torna obrigatória a entrega da Escrituraç?o Fiscal Digital (EFD).</li> <li>Impede o uso da nota fiscal avulsa, obrigando o contribuinte a utilizar a NF-e em todas as suas operaç?es de saída.</li> </ul> Para efetuar o credenciamento no portal, o sistema exige que o produtor assinale todas as opç?es disponíveis, garantindo que ele tenha ci?ncia plena dessas obrigaç?es. <a href=""/pdf/?file=P_184_2024_SEI.docx"">P_184_2024_SEI.docx</a> </p> </li> </ul> </div>"
"2026-02-10 13:26:26.782891";"2026-02-10 13:26:45.525537";o que é fundeinfra?;{P_150_2023_SEI.docx,P_185_2023_SEI.docx,P_79_2023_SEI.docx,P_42_2023_SEI.docx,P_27_2023_SEI.docx,P_69_2023_SEI.docx,P_45_2023_SEI.docx,P_57_2023_SEI.docx};"<div> <strong>O que é o Fundeinfra</strong><br> <p>O Fundo Estadual de Infraestrutura (Fundeinfra) foi instituído pela Lei n? 21.670/2022 e regulamentado pelo Decreto n? 10.187/2022. A contribuiç?o para este fundo n?o tem natureza de tributo, sendo uma prestaç?o em dinheiro <em>(pecuniária)</em> e <strong>facultativa</strong>. Ela é exigida apenas dos contribuintes que optam por manter determinados benefícios fiscais. Por ser uma opç?o, princípios tributários como o da anterioridade n?o se aplicam. <a href=""/pdf/?file=P_42_2023_SEI.docx""> P_42_2023_SEI.docx </a>  ,  <a href=""/pdf/?file=P_45_2023_SEI.docx""> P_45_2023_SEI.docx </a>  ,  <a href=""/pdf/?file=P_27_2023_SEI.docx""> P_27_2023_SEI.docx </a>  </p> <p>A contribuiç?o é uma condiç?o para usufruir de regimes como:</p> <ul> <li>O regime especial de controle de exportaç?o. <a href=""/pdf/?file=P_42_2023_SEI.docx""> P_42_2023_SEI.docx </a>  </li> <li>A isenç?o de ICMS prevista nos incisos LXXVIII e CXVI do art. 6? do Anexo IX do RCTE/GO. <a href=""/pdf/?file=P_27_2023_SEI.docx""> P_27_2023_SEI.docx </a>  </li> <li>A postergaç?o (adiamento) do pagamento do ICMS em operaç?es de substituiç?o tributária. <a href=""/pdf/?file=P_45_2023_SEI.docx""> P_45_2023_SEI.docx </a>  </li> </ul> </div>"
"2026-02-13 09:50:39.946824";"2026-02-13 09:50:53.653441";O fracionamento de insumos é considerado industrializaç?o?;{P_158_2023_SEI.docx,P_95_2023_SEI.docx,P_55_2023_SEI.docx,P_46_2023_SEI.docx,P_148_2022_SEI.docx,P_23_2023_SEI.docx,P_65_2024_SEI.docx};"<div> <strong>Fracionamento de Insumos e o Conceito de Industrializaç?o</strong><br> <p> N?o, o fracionamento de insumos n?o se enquadra no conceito de industrializaç?o para fins da legislaç?o tributária estadual. O entendimento da administraç?o tributária é que este processo, mesmo que sujeito a um rigoroso controle sanitário conforme as normas da ANVISA, preserva a composiç?o original do insumo, apenas o dividindo em porç?es menores. Portanto, é considerado uma atividade n?o industrial. <a href=""/pdf/?file=P_46_2023_SEI.docx""> P_46_2023_SEI.docx </a>  </p> <p> A análise detalha que a embalagem utilizada no processo de fracionamento destina-se ao transporte e ? identificaç?o técnica exigida pela ANVISA. Ela n?o se configura como ""acondicionamento"" no sentido de alterar a apresentaç?o do produto para influenciar o consumidor final, que seria uma das modalidades de industrializaç?o previstas no art. 5? do RCTE-GO. <a href=""/pdf/?file=P_46_2023_SEI.docx""> P_46_2023_SEI.docx </a>  </p> </div>"
